,Average_salary,Title,Seniority,Rating,Hourly,Employer_provided,Company_age,Industry,Sector,Type of ownership,Size,State
0,146.0,data scientist,senior,3.5,0,,17,Travel Agencies,Travel & Tourism,Company - Private,501 to 1000 employees,NY
1,146.0,data scientist,other,4.5,0,,16,"Health, Beauty, & Fitness",Consumer Services,Company - Private,1001 to 5000 employees,NY
2,146.0,data scientist,senior,-1.0,0,,-1,-1,-1,-1,1 to 50 employees,NY
3,146.0,analyst,other,3.4,0,,5,Internet,Information Technology,Company - Private,201 to 500 employees,NJ
4,146.0,data scientist,other,3.4,0,,17,Advertising & Marketing,Business Services,Company - Private,51 to 200 employees,NY
5,146.0,data scientist,other,2.9,0,,39,Insurance Carriers,Insurance,Company - Private,201 to 500 employees,NY
6,146.0,researcher,other,4.4,0,,31,Investment Banking & Asset Management,Finance,Company - Private,51 to 200 employees,NY
7,146.0,other,other,-1.0,0,,-1,-1,-1,-1,1 to 50 employees,NY
8,146.0,other,other,5.0,0,,6,Enterprise Software & Network Solutions,Information Technology,Company - Private,1 to 50 employees,NY
9,146.0,researcher,other,4.8,0,,24,Investment Banking & Asset Management,Finance,Company - Private,501 to 1000 employees,NY
10,146.0,data scientist,other,3.9,0,,10,Enterprise Software & Network Solutions,Information Technology,Company - Private,201 to 500 employees,NY
11,146.0,data scientist,other,4.4,0,,13,Internet,Information Technology,Company - Private,51 to 200 employees,NY
12,146.0,data scientist,other,4.3,0,,25,Enterprise Software & Network Solutions,Information Technology,Company - Public,1001 to 5000 employees,NY
13,146.0,data scientist,other,3.9,0,,10,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
14,146.0,data scientist,other,4.4,0,,23,Investment Banking & Asset Management,Finance,Company - Private,1001 to 5000 employees,NY
15,146.0,data scientist,other,3.0,0,,26,Advertising & Marketing,Business Services,Company - Private,51 to 200 employees,NY
16,146.0,data scientist,other,3.6,0,,19,Other Retail Stores,Retail,Company - Public,501 to 1000 employees,NY
17,146.0,data scientist,other,3.3,0,,81,Consulting,Business Services,Company - Private,1001 to 5000 employees,NY
18,146.0,data scientist,other,3.6,0,,19,Other Retail Stores,Retail,Company - Public,501 to 1000 employees,NY
19,146.0,data scientist,senior,3.9,0,,12,Research & Development,Business Services,Company - Private,51 to 200 employees,NY
20,146.0,data scientist,other,4.0,0,,101,Motion Picture Production & Distribution,Media,Company - Public,10000+ employees,NY
21,146.0,data scientist,senior,3.4,0,,21,Internet,Information Technology,Company - Private,1001 to 5000 employees,NY
22,146.0,researcher,other,4.1,0,,22,Brokerage Services,Finance,Company - Private,201 to 500 employees,NY
23,146.0,data engineer,senior,3.4,0,,26,IT Services,Information Technology,Company - Private,51 to 200 employees,NY
24,146.0,data scientist,other,4.4,0,,9,Advertising & Marketing,Business Services,Company - Private,51 to 200 employees,NY
25,146.0,data scientist,other,3.8,0,,18,Internet,Information Technology,Company - Public,1001 to 5000 employees,NY
26,146.0,data scientist,other,4.1,0,,14,Computer Hardware & Software,Information Technology,Company - Public,1001 to 5000 employees,NY
27,146.0,data scientist,senior,3.3,0,,171,Insurance Carriers,Insurance,Company - Public,10000+ employees,NY
28,146.0,data scientist,other,5.0,0,,9,"Health, Beauty, & Fitness",Consumer Services,Company - Private,1 to 50 employees,NY
29,146.0,data scientist,senior,3.3,0,,171,Insurance Carriers,Insurance,Company - Public,10000+ employees,NY
30,130.0,data scientist,other,4.3,0,,23,IT Services,Information Technology,Company - Private,51 to 200 employees,NY
31,130.0,data scientist,other,3.7,0,,12,Computer Hardware & Software,Information Technology,Company - Public,5001 to 10000 employees,NY
32,130.0,data scientist,other,4.3,0,,34,Brokerage Services,Finance,Company - Private,201 to 500 employees,NY
33,130.0,data scientist,other,3.0,0,,14,Security Services,Business Services,Company - Private,1001 to 5000 employees,NY
34,130.0,data scientist,other,3.7,0,,110,Insurance Carriers,Insurance,Company - Private,201 to 500 employees,NY
35,130.0,analyst,senior,3.4,0,,21,Internet,Information Technology,Company - Private,1001 to 5000 employees,NY
36,130.0,data scientist,other,3.5,0,,-1,Casual Restaurants,"Restaurants, Bars & Food Services",Company - Private,201 to 500 employees,NY
37,130.0,data scientist,other,4.2,0,,11,Food & Beverage Stores,Retail,Company - Private,501 to 1000 employees,NY
38,130.0,data scientist,other,3.5,0,,-1,Casual Restaurants,"Restaurants, Bars & Food Services",Company - Private,201 to 500 employees,NY
39,130.0,data scientist,other,4.6,0,,9,Food Production,Agriculture & Forestry,Company - Private,51 to 200 employees,NY
40,130.0,data scientist,other,4.3,0,,-1,-1,-1,Company - Private,1 to 50 employees,NY
41,130.0,analyst,other,4.1,0,,22,Brokerage Services,Finance,Company - Private,201 to 500 employees,NY
42,130.0,other,other,4.3,0,,13,Advertising & Marketing,Business Services,Company - Private,501 to 1000 employees,NY
43,130.0,data scientist,other,4.5,0,,20,Internet,Information Technology,Company - Public,10000+ employees,NY
44,130.0,data scientist,other,-1.0,0,,-1,-1,-1,Company - Public,-1,NY
45,130.0,data scientist,other,3.9,0,,11,Health Fundraising Organizations,Non-Profit,Nonprofit Organization,51 to 200 employees,NY
46,130.0,data scientist,other,3.4,0,,10,Home Furniture & Housewares Stores,Retail,Company - Public,501 to 1000 employees,NY
